,LCIA,database,product,Scenario,imp_cat,imp_yr
4,background,ei391,Ammonium sulphate at WWTP,S0_compost,WC,0.0
9,background,ei391,Struvite at WWTP,S0_compost,WC,0.0
14,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_compost,WC,-35.934027643381675
19,background,ei391,"inorganic nitrogen fertiliser, as N",S0_compost,WC,151.2335216712826
24,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_compost,WC,5.934757190262582
29,background,ei391,"inorganic potassium fertiliser, as K2O",S0_compost,WC,35.57913095928993
34,background,ei391_Image_SSP2_Base_50,Ammonium sulphate at WWTP,S0_compost,WC,0.0
39,background,ei391_Image_SSP2_Base_50,Struvite at WWTP,S0_compost,WC,0.0
44,background,ei391_Image_SSP2_Base_50,"compost, market for compost Metropolitan Area of Barcelona",S0_compost,WC,-47.657129768206765
49,background,ei391_Image_SSP2_Base_50,"inorganic nitrogen fertiliser, as N",S0_compost,WC,149.76480069019655
54,background,ei391_Image_SSP2_Base_50,"inorganic phosphorus fertiliser, as P2O5",S0_compost,WC,5.795595354159511
59,background,ei391_Image_SSP2_Base_50,"inorganic potassium fertiliser, as K2O",S0_compost,WC,35.09898045527585
64,background,ei391_Image_SSP2_RCP26_50,Ammonium sulphate at WWTP,S0_compost,WC,0.0
69,background,ei391_Image_SSP2_RCP26_50,Struvite at WWTP,S0_compost,WC,0.0
74,background,ei391_Image_SSP2_RCP26_50,"compost, market for compost Metropolitan Area of Barcelona",S0_compost,WC,-41.64688120741228
79,background,ei391_Image_SSP2_RCP26_50,"inorganic nitrogen fertiliser, as N",S0_compost,WC,148.87885456658563
84,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_compost,WC,5.7075504290791494
89,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_compost,WC,34.656438279716234
133,foreground,ei391,Irrigation,S0_compost,WC,23652.19407986375
141,foreground,ei391_Image_SSP2_Base_50,Irrigation,S0_compost,WC,23652.19407986375
149,foreground,ei391_Image_SSP2_RCP26_50,Irrigation,S0_compost,WC,23652.19407986375
