,LCIA,database,imp_cat,Scenario,product,imp_yr
0,foreground,ei391,FE,S0_compost,Phosphate,0.42383945551584157
1,foreground,ei391,FE_Reg,S0_compost,Phosphate,0.000903873433619297
2,foreground,ei391,GWP100,S0_compost,CH4,0.0
3,foreground,ei391,GWP100,S0_compost,CO2,0.0
4,foreground,ei391,GWP100,S0_compost,N2O,8284.533629545223
5,foreground,ei391,ME,S0_compost,Nitrate,67.64650670948977
6,foreground,ei391,ME_Reg,S0_compost,Nitrate,260.73488393970143
7,foreground,ei391,WC,S0_compost,Irrigation,23652.19407986375
8,foreground,ei391_Image_SSP2_Base_50,FE,S0_compost,Phosphate,0.42383945551584157
9,foreground,ei391_Image_SSP2_Base_50,FE_Reg,S0_compost,Phosphate,0.000903873433619297
10,foreground,ei391_Image_SSP2_Base_50,GWP100,S0_compost,CH4,0.0
11,foreground,ei391_Image_SSP2_Base_50,GWP100,S0_compost,CO2,0.0
12,foreground,ei391_Image_SSP2_Base_50,GWP100,S0_compost,N2O,8284.533629545223
13,foreground,ei391_Image_SSP2_Base_50,ME,S0_compost,Nitrate,67.64650670948977
14,foreground,ei391_Image_SSP2_Base_50,ME_Reg,S0_compost,Nitrate,260.73488393970143
15,foreground,ei391_Image_SSP2_Base_50,WC,S0_compost,Irrigation,23652.19407986375
16,foreground,ei391_Image_SSP2_RCP26_50,FE,S0_compost,Phosphate,0.42383945551584157
17,foreground,ei391_Image_SSP2_RCP26_50,FE_Reg,S0_compost,Phosphate,0.000903873433619297
18,foreground,ei391_Image_SSP2_RCP26_50,GWP100,S0_compost,CH4,0.0
19,foreground,ei391_Image_SSP2_RCP26_50,GWP100,S0_compost,CO2,0.0
20,foreground,ei391_Image_SSP2_RCP26_50,GWP100,S0_compost,N2O,8284.533629545223
21,foreground,ei391_Image_SSP2_RCP26_50,ME,S0_compost,Nitrate,67.64650670948977
22,foreground,ei391_Image_SSP2_RCP26_50,ME_Reg,S0_compost,Nitrate,260.73488393970143
23,foreground,ei391_Image_SSP2_RCP26_50,WC,S0_compost,Irrigation,23652.19407986375
